DragonID,Assay_Num,Assay_Date,age_days,Reproduced,Sex,Gen_Sex,Status,Col_Period,Col_Date,Estrogen_plate,Estrogen_Dilution,Estrogen_CV,Estrogen_Avg_Hormone,Estrogen_Final,Testosterone_plate,Testosterone_Dilution,Testosterone_CV,Testosterone_Avg_Hormone,Testosterone
9176,12,17/10/2023,919,M,M,ZZM,M,Mid,23/12/2020,E01,23.3333333,0.6,20.9,487.666666,T01,25,3.2,454.8,11370
8086,3,17/10/2023,2090,N,F,ZWF,N_ZWF,Earl,29/9/2020,E01,23.3333333,1.1,7.4,172.6666664,T01,25,3.1,53.7,1342.5
9140,132,19/11/2023,919,M,M,ZZM,M,Earl,29/9/2020,E06,23.3333333,10.2,13.4,312.6666662,T06,25,3,1262,31550
9192,123,19/11/2023,965,M,M,ZZM,M,Mid,23/12/2020,E06,23.3333333,9.5,7.4,172.6666664,T06,25,3,478.9,11972.5
9189,81,9/11/2023,NA,N,F,ZZF,N_ZZF,Earl,2/10/2020,E04,23.3333333,3.9,8,186.6666664,T04,16.66666667,3,82.5,1375
81826,7,17/10/2023,654,Y,F,ZWF,Y_ZZF,Earl,29/9/2020,E01,23.3333333,1.1,9.7,226.333333,T08,8.333333333,3,19.2,160
82142,68,9/11/2023,NA,Y,F,ZZF,Y_ZZF,Late,6/7/2021,E04,23.3333333,2.3,12.7,296.3333329,T04,16.66666667,2.7,47.9,798.3333333
9186,41,18/10/2023,NA,M,M,ZZM,M,Mid,23/12/2020,E02,23.3333333,8.4,10.5,244.9999997,T02,25,2.6,173.4,4335
9192,133,19/11/2023,965,M,M,ZZM,M,Earl,30/9/2020,E06,23.3333333,6.9,14.4,335.9999995,T06,25,2.6,840.5,21012.5
9570,61,25/10/2023,1404,Y,F,ZZF,Y_ZZF,Earl,2/10/2020,E03,23.3333333,0.6,10.3,240.333333,T03,16.66666667,2.4,66.9,1115
9598,28,18/10/2023,2090,M,M,ZZM,M,Late,6/7/2021,E02,23.3333333,1.9,24.4,569.3333325,T02,25,2.3,1037.4,25935
9523,60,25/10/2023,1013,M,M,ZZM,M,Late,6/7/2021,E03,23.3333333,0.9,13.5,314.9999996,T03,25,2.2,1315.6,32890
Brad,72,9/11/2023,376,M,M,ZZM,M,Late,6/7/2021,E04,23.3333333,1.4,13,303.3333329,T04,25,2.2,795,19875
9511,30,18/10/2023,1707,N,F,ZWF,N_ZWF,Earl,29/9/2020,E02,23.3333333,4.7,12.8,298.6666662,T02,16.66666667,2.2,44.7,745
82135,17,17/10/2023,632,N,F,ZWF,N_ZWF,Late,6/7/2021,E01,23.3333333,3.2,14.6,340.6666662,T01,25,2.1,17.2,430
82427,118,19/11/2023,NA,N,F,ZWF,N_ZWF,Late,6/7/2021,E06,23.3333333,1.7,13.2,307.9999996,T07,8.333333333,2,17.6,146.6666667
9508,70,9/11/2023,NA,M,M,ZZM,M,Late,19/4/2021,E04,23.3333333,0.084109,13.9,324.3333329,T04,25,1.9,422.5,10562.5
9176,115,14/11/2023,919,M,M,ZZM,M,Late,19/4/2021,E05,23.3333333,0.6,7.4,172.6666664,T05,25,1.7,310.1,7752.5
9186,131,19/11/2023,NA,M,M,ZZM,M,Earl,2/10/2020,E06,23.3333333,2.1,13.6,317.3333329,T06,25,1.6,892.6,22315
9192,109,14/11/2023,965,M,M,ZZM,M,Late,6/7/2021,E05,23.3333333,3.1,10.6,247.333333,T05,25,1.6,720,18000
82407,83,9/11/2023,NA,M,M,ZZM,M,Mid,23/12/2020,E04,23.3333333,5.2,7.6,177.3333331,T04,25,1.6,419.9,10497.5
9122,104,14/11/2023,993,N,F,ZZF,N_ZZF,Mid,23/12/2020,E05,23.3333333,1.6,11.4,265.9999996,T05,16.66666667,1.6,14.2,236.6666667
9182,53,25/10/2023,967,M,M,ZZM,M,Late,6/7/2021,E03,23.3333333,3.5,8.5,198.3333331,T03,25,1.5,1046.6,26165
9590,125,19/11/2023,1727,N,F,ZZF,N_ZZF,Mid,23/12/2020,E06,23.3333333,2.2,19.7,459.666666,T06,16.66666667,1.5,24.4,406.6666667
3592,15,17/10/2023,2861,Y,F,ZZF,Y_ZZF,Mid,23/12/2020,E01,23.3333333,2.7,18.5,431.6666661,T01,25,1.4,23.2,580
9559,25,18/10/2023,1737,Y,F,ZWF,Y_ZWF,Late,6/7/2021,E02,23.3333333,1.6,16.9,394.3333328,T02,16.66666667,1.4,29.4,490
9170,57,25/10/2023,NA,M,M,ZZM,M,Late,6/7/2021,E03,23.3333333,1,10.1,235.6666663,T03,25,1.3,510.8,12770
9523,39,18/10/2023,1013,M,M,ZZM,M,Mid,23/12/2020,E02,23.3333333,39.4,4.2,97.99999986,T02,25,1.3,368.5,9212.5
9523,97,14/11/2023,1013,M,M,ZZM,M,Earl,30/9/2020,E05,23.3333333,0.4,8.6,200.6666664,T05,25,1.3,1444.9,36122.5
81803,135,19/11/2023,657,Y,F,ZWF,Y_ZWF,Earl,29/9/2020,E06,23.3333333,3.4,16.8,391.9999994,T08,8.333333333,1.3,66.6,555
9182,136,19/11/2023,967,M,M,ZZM,M,Earl,30/9/2020,E06,23.3333333,3.8,10.3,240.333333,T06,25,1.2,869.7,21742.5
9598,98,14/11/2023,2090,M,M,ZZM,M,Earl,29/9/2020,E05,23.3333333,2.8,21.8,508.6666659,T05,25,1.2,458,11450
81827,137,19/11/2023,NA,N,F,ZZF,N_ZZF,Earl,2/10/2020,E06,23.3333333,1.4,8.7,202.9999997,T06,16.66666667,1.2,2.3,38.33333333
9186,75,9/11/2023,NA,M,M,ZZM,M,Late,6/7/2021,E04,23.3333333,0.6,12.4,289.3333329,T08,8.333333333,1.1,1761.6,14680
9555,44,18/10/2023,NA,Y,F,ZWF,Y_ZWF,Mid,23/12/2020,E02,23.3333333,2.5,12.2,284.6666663,T02,16.66666667,1.1,14.6,243.3333333
81804,94,14/11/2023,NA,N,F,ZWF,N_ZWF,Earl,29/9/2020,E05,23.3333333,2.6,13.8,321.9999995,T05,16.66666667,1,10.3,171.6666667
9598,141,20/11/2023,2090,M,M,ZZM,M,Mid,23/12/2020,E07,23.3333333,0.2,20.1,468.9999993,T07,25,0.9,332.9,8322.5
Brad,32,18/10/2023,376,M,M,ZZM,M,Earl,29/9/2020,E02,23.3333333,7.9,10.1,235.6666663,T02,25,0.9,97,2425
9131,22,17/10/2023,959,N,F,ZZF,N_ZZF,Late,6/7/2021,E01,23.3333333,7.9,9,209.9999997,T01,25,0.9,5.9,147.5
9508,85,9/11/2023,NA,M,M,ZZM,M,Mid,23/12/2020,E04,23.3333333,3.1,14.6,340.6666662,T04,25,0.8,489.1,12227.5
3592,150,20/11/2023,2861,Y,F,ZZF,Y_ZZF,Earl,29/9/2020,E07,23.3333333,2.1,12.4,289.3333329,T07,16.66666667,0.8,279,4650
82443,71,9/11/2023,627,Y,F,ZZF,Y_ZZF,Late,6/7/2021,E04,23.3333333,0.7,16.4,382.6666661,T04,16.66666667,0.8,32.2,536.6666667
